iter	Passed	Remaining
0	152	152385
1	154	77110
2	156	51908
3	159	39681
4	161	32156
5	163	27144
6	165	23487
7	167	20775
8	169	18652
9	170	16919
10	173	15618
11	175	14461
12	177	13464
13	179	12668
14	182	11958
15	183	11289
16	186	10786
17	187	10246
18	189	9761
19	190	9329
20	192	8993
21	195	8670
22	197	8380
23	199	8098
24	200	7812
25	202	7571
26	203	7346
27	205	7145
28	207	6955
29	209	6764
30	210	6594
31	212	6414
32	213	6245
33	214	6097
34	215	5943
35	217	5818
36	218	5674
37	218	5542
38	220	5422
39	221	5308
40	222	5200
41	223	5099
42	224	4990
43	225	4891
44	226	4802
45	227	4711
46	228	4626
47	229	4547
48	230	4464
49	230	4387
50	231	4315
51	232	4245
52	233	4176
53	234	4110
54	235	4048
55	236	3994
56	237	3937
57	238	3880
58	239	3825
59	240	3771
60	241	3717
61	242	3674
62	243	3624
63	244	3575
64	245	3529
65	246	3485
66	247	3439
67	247	3389
68	247	3344
69	249	3313
70	250	3271
71	250	3231
72	251	3193
73	252	3155
74	252	3118
75	253	3082
76	254	3047
77	255	3014
78	255	2981
79	256	2948
80	257	2917
81	257	2885
82	258	2855
83	259	2826
84	259	2794
85	260	2766
86	260	2736
87	261	2710
88	262	2684
89	262	2658
90	263	2632
91	264	2607
92	264	2583
93	265	2559
94	266	2536
95	266	2513
96	267	2490
97	268	2468
98	268	2447
99	269	2426
100	270	2406
101	270	2383
102	271	2363
103	272	2344
104	272	2326
105	273	2306
106	274	2292
107	275	2274
108	276	2257
109	276	2239
110	277	2222
111	278	2206
112	278	2189
113	279	2173
114	280	2157
115	281	2145
116	282	2130
117	283	2115
118	283	2099
119	284	2085
120	285	2070
121	285	2057
122	286	2040
123	286	2026
124	287	2013
125	288	1999
126	289	1986
127	289	1971
128	290	1959
129	290	1947
130	291	1935
131	292	1923
132	293	1911
133	294	1903
134	295	1891
135	295	1879
136	296	1868
137	297	1856
138	297	1845
139	298	1833
140	299	1822
141	300	1812
142	300	1802
143	301	1792
144	302	1781
145	302	1771
146	303	1761
147	304	1751
148	304	1741
149	305	1731
150	306	1722
151	307	1714
152	307	1704
153	308	1695
154	309	1686
155	309	1676
156	310	1667
157	311	1658
158	311	1649
159	312	1640
160	313	1634
161	314	1626
162	315	1618
163	316	1611
164	317	1604
165	317	1596
166	318	1588
167	319	1580
168	320	1573
169	320	1566
170	321	1558
171	322	1551
172	322	1543
173	323	1536
174	324	1528
175	324	1521
176	325	1513
177	326	1508
178	327	1502
179	328	1494
180	328	1486
181	329	1479
182	329	1472
183	330	1466
184	331	1459
185	332	1453
186	332	1446
187	333	1440
188	334	1433
189	334	1426
190	335	1420
191	336	1414
192	336	1407
193	337	1401
194	337	1394
195	338	1388
196	339	1383
197	340	1377
198	340	1371
199	341	1365
200	342	1359
201	342	1353
202	343	1348
203	344	1342
204	344	1337
205	345	1331
206	346	1326
207	346	1320
208	347	1315
209	348	1309
210	348	1304
211	349	1299
212	350	1294
213	350	1288
214	351	1284
215	352	1279
216	353	1274
217	353	1269
218	354	1264
219	355	1258
