iter	Passed	Remaining
0	145	145108
1	146	73274
2	148	49442
3	151	37694
4	154	30793
5	157	26029
6	160	22717
7	163	20248
8	166	18373
9	168	16683
10	170	15321
11	172	14226
12	175	13341
13	178	12590
14	181	11934
15	183	11286
16	185	10747
17	187	10251
18	189	9807
19	192	9430
20	194	9060
21	196	8724
22	197	8401
23	199	8115
24	201	7876
25	204	7642
26	205	7400
27	207	7212
28	209	7018
29	211	6850
30	213	6669
31	215	6514
32	217	6371
33	218	6212
34	220	6080
35	222	5959
36	224	5839
37	226	5721
38	227	5615
39	229	5509
40	231	5416
41	233	5317
42	234	5227
43	236	5143
44	238	5055
45	239	4970
46	241	4887
47	242	4819
48	244	4751
49	246	4678
50	248	4620
51	250	4567
52	252	4504
53	255	4471
54	257	4418
55	259	4380
56	262	4340
57	264	4295
58	266	4247
59	268	4207
60	270	4165
61	271	4114
62	273	4069
63	275	4029
64	277	3992
65	278	3945
66	279	3897
67	281	3851
68	282	3812
69	283	3770
70	284	3728
71	286	3686
72	287	3645
73	288	3606
74	289	3570
75	290	3537
76	292	3501
77	293	3465
78	294	3430
79	295	3396
80	297	3370
81	298	3338
82	299	3305
83	300	3275
84	301	3247
85	302	3217
86	304	3194
87	306	3171
88	307	3149
89	309	3124
90	310	3099
91	311	3075
92	313	3058
93	315	3041
94	316	3018
95	318	2997
96	320	2981
97	322	2966
98	323	2940
99	324	2916
100	324	2892
101	325	2869
102	327	2847
103	328	2831
104	330	2813
105	331	2793
106	332	2777
107	333	2758
108	335	2743
109	336	2724
110	337	2706
111	339	2689
112	340	2670
113	341	2654
114	342	2639
115	344	2621
116	344	2601
117	345	2583
118	346	2565
119	347	2546
120	348	2529
121	348	2510
122	350	2501
123	352	2487
124	353	2472
125	354	2459
126	355	2443
127	357	2432
128	358	2423
129	359	2408
130	360	2392
131	361	2377
132	362	2361
133	363	2347
134	366	2347
135	367	2336
136	368	2322
137	370	2314
138	372	2304
139	373	2295
140	375	2286
141	376	2274
142	378	2266
143	380	2258
144	381	2248
145	382	2237
146	383	2225
147	384	2213
148	386	2206
149	387	2197
150	389	2188
151	390	2180
152	392	2170
153	393	2163
154	395	2153
155	396	2144
156	397	2132
157	397	2120
158	398	2110
159	400	2103
160	402	2096
161	403	2088
162	404	2079
163	405	2069
164	407	2060
165	408	2054
166	410	2045
167	410	2034
168	411	2024
169	412	2014
170	413	2004
171	415	1998
172	416	1990
173	417	1981
174	418	1971
175	418	1960
176	419	1950
177	420	1943
178	421	1933
179	422	1924
180	423	1917
181	424	1909
182	425	1899
183	426	1889
184	427	1883
185	428	1874
186	429	1866
187	430	1858
188	431	1853
189	432	1844
190	433	1836
191	434	1827
192	435	1819
193	436	1812
194	437	1804
195	438	1798
196	439	1791
197	440	1785
198	441	1776
199	442	1768
200	442	1760
201	443	1753
202	444	1745
203	445	1739
204	447	1733
205	448	1727
206	448	1719
207	449	1712
208	450	1705
209	451	1699
210	453	1694
211	454	1689
212	455	1682
213	456	1675
214	456	1668
215	457	1662
216	459	1656
217	460	1650
218	461	1645
219	462	1638
220	463	1632
221	463	1625
222	464	1618
223	465	1612
224	466	1606
225	467	1601
226	468	1597
227	469	1590
228	470	1584
229	471	1578
230	472	1572
231	473	1567
232	474	1560
233	475	1554
234	476	1549
235	477	1544
236	477	1538
237	478	1531
238	479	1526
239	480	1520
240	481	1515
241	481	1509
242	482	1504
243	484	1499
244	485	1494
245	485	1489
246	486	1483
247	487	1479
248	488	1473
249	489	1467
250	490	1464
251	491	1459
252	492	1454
253	493	1449
254	494	1444
255	495	1438
256	495	1433
257	497	1429
258	498	1425
259	498	1419
260	499	1414
261	500	1409
262	500	1403
263	501	1398
264	502	1393
265	503	1388
266	504	1383
267	504	1378
268	505	1374
269	506	1369
270	507	1364
271	507	1359
272	508	1354
273	509	1349
274	510	1344
275	511	1340
276	512	1336
277	512	1331
278	513	1327
279	514	1322
280	515	1318
281	516	1315
282	517	1310
283	517	1305
284	518	1301
285	519	1296
286	520	1292
287	520	1287
288	521	1283
289	522	1279
290	523	1274
291	524	1270
292	525	1266
293	525	1262
294	526	1257
295	527	1253
296	527	1249
297	528	1245
298	529	1241
299	530	1237
300	531	1233
301	531	1229
302	532	1225
303	533	1220
304	533	1216
305	534	1212
306	535	1208
307	536	1204
308	537	1201
309	538	1197
310	538	1193
311	539	1190
312	540	1185
313	541	1183
314	542	1179
315	543	1175
316	544	1172
317	545	1169
318	545	1165
319	546	1161
320	547	1157
321	548	1154
322	548	1150
323	549	1146
324	550	1142
325	550	1138
326	551	1135
327	552	1131
328	553	1128
329	554	1126
330	555	1122
331	556	1119
332	556	1115
333	557	1112
334	558	1108
335	559	1105
336	560	1102
337	561	1099
338	562	1095
339	562	1092
340	563	1088
341	564	1085
342	565	1082
343	565	1078
344	566	1075
345	567	1072
346	568	1069
347	569	1066
348	569	1063
349	570	1060
350	571	1056
351	572	1053
352	573	1050
353	573	1047
354	574	1044
355	575	1041
356	576	1038
357	577	1035
358	578	1032
359	578	1029
360	579	1026
361	580	1023
362	581	1020
363	582	1017
364	583	1015
365	584	1012
366	585	1010
367	586	1007
368	587	1004
369	588	1001
370	588	998
371	589	995
372	590	992
373	591	989
374	591	986
375	592	983
376	593	980
377	593	976
378	594	973
379	594	970
380	595	967
381	596	964
382	596	961
383	597	958
384	598	955
385	598	952
386	599	949
387	600	946
388	600	943
389	601	940
390	602	937
391	602	934
392	603	931
393	603	928
394	604	925
395	605	923
396	605	920
397	606	917
398	607	914
399	607	911
400	608	908
401	608	905
402	609	902
403	609	899
404	610	896
405	611	893
406	611	890
407	612	888
408	612	885
409	613	882
410	613	879
411	614	877
412	615	874
413	615	871
414	616	868
415	616	865
416	617	863
417	617	860
418	618	857
419	619	854
420	619	852
421	620	850
422	621	847
423	622	845
424	622	842
425	623	839
426	623	837
427	624	834
428	624	831
429	625	829
430	626	826
431	626	823
432	627	821
433	627	818
434	628	816
435	629	813
436	629	811
437	630	808
438	630	806
439	631	803
440	631	801
441	632	798
442	633	796
443	633	793
444	634	791
445	634	788
446	635	786
447	636	783
448	636	781
449	637	778
450	637	776
451	638	774
452	639	771
453	639	769
454	640	766
455	640	764
456	641	761
457	641	759
458	642	757
459	643	754
460	643	752
461	644	750
462	645	748
463	646	746
464	646	743
465	647	741
466	647	739
467	648	736
